"magnitude","latitude","longitude","depth"
"4.1","36.5556","36.5606","10"
"4.2","38.0517","38.5848","10"
"4.1","38.1788","38.5981","4.258"
"4.7","37.8868","36.2951","2.087"
"4.4","38.1976","38.1375","10"
"4.3","38.0757","38.1756","7.345"
"4.2","38.0858","38.451","10"
"4.7","38.1736","38.1714","10"
"4.4","38.1343","38.2167","10"
"4.3","37.8685","36.631","5.225"
"4.2","37.1058","36.6317","5.459"
"4.2","37.1694","36.8496","10"
"4.1","38.0264","36.6096","10"
"4.2","36.1764","35.7977","10"
"4","38.0746","36.5194","10"
"4.1","37.9544","37.7834","10"
"4.3","37.9921","37.7044","10"
"4.3","37.2659","36.9198","11.669"
"4.3","39.1974","40.1831","10.605"
"4.3","38.0605","38.6406","12.373"
"4.2","38.0799","36.5452","8.987"
"4.3","37.995","36.5954","6.994"
"4.6","36.9611","36.6603","8.379"
"4.1","37.8752","37.6589","14.944"
"4.3","38.1849","38.1997","15.513"
"4.4","38.0679","36.6086","8.594"
"4.3","38.0951","38.4712","15.955"
"4.3","37.9616","36.3641","10"
"4.3","37.9889","38.5654","13.975"
"4.3","36.8136","36.4252","10"
"4.5","37.8831","37.7147","8.154"
"4.4","38.4984","40.4216","8.839"
"4.2","38.3957","39.284","14.83"
"4.2","38.512","40.4236","13.017"
"4","38.2135","38.1703","10"
"4.5","38.1972","38.1247","10"
"4.2","36.3313","36.0996","10"
"4.5","38.0531","36.5409","10"
"4.4","37.5096","37.116","10"
"4.4","39.7542","40.744","10"
"4.4","38.0244","37.1589","10"
"4.3","37.8218","36.5994","1.576"
"4.3","38.0391","36.953","10"
"4.3","38.0396","38.5055","16.116"
"4.4","38.0953","36.6525","11.674"
"5.1","37.9963","37.4325","5.398"
"4.1","37.9312","38.2283","17.226"
"4.1","38.8457","37.2766","10"
"4","38.0802","36.8835","10"
"4.5","37.9367","37.6179","3.53"
"5.4","37.9389","37.6611","9.559"
"4.1","38.0268","37.7704","10"
"4.4","37.1554","37.0022","6.602"
"4.4","38.0337","36.5009","10"
"4.3","36.6565","36.5077","10"
"4.1","37.8795","37.7666","12.886"
