latitude,longitude,depth,magnitude,exponent
0.7,98.43,40,5.51,24
25.22,142.34,10,5.35,24
18.36,145.51,206.1,6.32,25
-17.68,-178.96,598.3,5.75,24
4.26,95.58,64.8,6.35,25
38.7,44.32,38.3,5.64,24
-1.74,120.81,33.6,6.11,25
-65.27,175.21,10,5.69,24
23.07,64.47,10,5.16,23
-34.43,-178.5,21.7,5.29,24
52.21,-169.74,39.2,6.29,25
-12.05,166.03,138.5,5.65,24
35.79,31.48,58.6,5.63,24
39.62,70.92,24,5.27,24
36.06,70.24,210,6.06,25
-18.83,-178.02,565.5,5.37,24
-14.29,166.21,10,5.67,24
-23.51,-69.71,32,5.88,24
31.85,47.72,10,6.06,25
32.13,48.09,10,5.35,24
18.87,-70.42,69.9,5.35,24
-19.61,-175.57,247.2,5.4,24
-22.21,-67.12,185.5,5.64,24
38.4,141.75,81.6,5.78,24
-6.08,112.9,629.6,5.64,24
-3.41,101.39,63.6,5.56,24
-19.11,-173.72,56,5.73,24
13.48,125.27,49.7,5.93,24
-14.12,-14.43,10,5.81,24
-19.86,-179.23,693.9,6.18,25
18.78,145.39,82.7,5.32,24
-20.95,-68.48,135.9,5.81,24
-9.94,159.53,12.6,6.07,25
4.8,125.41,283.5,5.9,24
46.38,151.19,157.4,5.82,24
-22.86,-174.91,61.3,8.03,28
-23.45,-175.93,38.3,5.72,24
-2.18,100.86,50.7,5.09,23
-4.91,102.1,42.3,5.19,23
-20.98,-179.63,633.7,5.51,24
-22.94,-175.35,59.2,5.33,24
38.52,14.39,249,5.29,24
22.56,-45.12,10,5.67,24
22.65,-45.14,10,5.79,24
22.56,-45.06,10,5.91,24
-7.85,127.99,98,6.17,25
-19.64,-69.56,122.2,5.7,24
-9.95,160.54,15,6.1,25
-25.87,-70.79,15,5.62,24
1.45,126.37,30.1,6.27,25
-53.87,-117.91,15,5.48,24
5.61,-82.66,15,5.89,24
-21.18,-178.81,596.2,6.18,25
10.42,39.98,15,5.33,24
-6.06,154.59,138.7,5.52,24
-22.3,-175.05,18.2,5.22,23
-37.75,49.74,15,5.27,24
-56.37,-27.67,116.7,6.04,25
-19.7,167.81,15,5.79,24
-21.8,-179.47,603.3,5.74,24
-21.14,-179.14,623.5,5.82,24
-5.95,130.71,50.8,5.45,24
51.32,176.13,15,5.38,24
0.62,134.36,33.3,5.49,24
29.69,67.13,15,5.53,24
40.12,63.28,15,5.33,24
23.84,122.09,15,5.82,24
-29.52,-112.45,15,5.72,24
-63.23,167.96,15,5.38,24
35.62,69.89,77.6,5.08,23
54.54,-162.02,54.3,5.26,23
-5.89,147.39,92.8,5.46,24
-54.23,158,22.8,6.87,26
17,122.85,23,6.85,26
-33.47,-179.26,44.5,6.07,25
42.2,83.59,33,5.4,24
-15.35,-173.07,15,6.36,25
19.3,144.62,409.1,5.89,24
21.61,142.73,296,5.05,23
-0.82,-13.72,15,5.89,24
43.66,-130.67,15,5.75,24
38.54,75.45,131.7,5.16,23
-8.16,155.92,24.3,7.13,26
-20.61,170.06,130.6,5.68,24
-20.5,-178.25,611.3,5.27,24
-56.24,-27.68,111.1,5.95,25
-7.11,155.7,67.3,5.46,24
-12.49,165.66,15,5.75,24
8.84,-82.88,22.4,5.98,25
6.93,-77.78,15,5.37,24
-10.29,161.4,51.2,5.71,24
-23.44,-179.53,445.1,5.29,24
-8.45,107.3,100.6,5.29,24
-20.56,-178.72,577,5.9,24
-17.77,-174.14,106,6.72,26
-6.55,154.63,52.1,5.74,24
-8.91,147.9,15,5.31,24
10.62,-61.88,106.3,5.67,24
-8.73,107.1,33,6.07,25
