"utc_date","latitude","longitude","depth","magnitude"
"9/26/2010","-7.2561","-79.9948","62","4.6"
"9/26/2010","-5.6524","-77.3351","77","4.5"
"9/27/2010","-18.7995","-70.6713","48","5"
"9/27/2010","-14.972","-73.6132","102","4.7"
"9/27/2010","-9.9881","-78.9544","50","4.5"
"9/27/2010","-14.3603","-76.3037","30","4.5"
"9/27/2010","-14.8544","-76.0005","19","5.2"
"9/28/2010","-15.0889","-76.1478","13","4.9"
"9/29/2010","-14.5329","-76.415","24","4.5"
"9/29/2010","-11.6399","-73.2424","6","4.6"
"9/29/2010","-14.8794","-76.0493","17","4.9"
"9/30/2010","-15.0497","-76.1056","32","4.8"
"9/30/2010","-10.6636","-76.6867","102","4.5"
"9/30/2010","-8.4389","-72.0492","697","5.3"
"10/2/2010","-15.5889","-75.5568","44","4.5"
"10/2/2010","-16.5119","-73.8809","52","4.8"
"10/2/2010","-14.9963","-75.9488","47","4.5"
"10/2/2010","-4.2331","-76.4084","76","5.2"
"10/2/2010","-14.8683","-75.926","50","4.7"
"10/3/2010","-14.795","-76.0498","18","4.8"
"10/3/2010","-15.5681","-75.3464","15","4.8"
"10/4/2010","-14.9986","-75.9735","46","5.3"
"10/4/2010","-15.0209","-76.3036","9","4.8"
"10/5/2010","-15.0216","-76.0229","44","5.3"
"10/5/2010","-15.0799","-76.6248","28","5"
"10/5/2010","-15.2283","-76.3909","13","4.8"
"10/5/2010","-16.4025","-73.1264","50","4.5"
"10/6/2010","-14.5765","-73.5748","107","4.5"
"10/6/2010","-14.712","-75.9912","13","4.7"
"10/6/2010","-2.831","-77.6689","142","4.5"
"10/7/2010","-16.1132","-70.5985","143","4.8"
"10/7/2010","-16.3206","-71.8761","93","4.5"
"10/8/2010","-14.9086","-76.1071","42","4.5"
"10/8/2010","-5.3399","-77.2596","58","4.5"
"10/9/2010","-2.6941","-77.4344","111","5.6"
"10/10/2010","-17.874","-70.3461","89","4.5"
"10/10/2010","-5.9688","-81.1633","31","4.7"
"10/11/2010","-14.8447","-73.3281","32","4.6"
"10/11/2010","-14.3774","-75.6646","37","4.5"
"10/11/2010","-9.1206","-75.3557","142","4.5"
"10/14/2010","-16.7106","-74.5888","10","4.5"
"10/15/2010","-15.3642","-75.2463","30","4.5"
"10/15/2010","-16.2644","-73.8026","40","4.6"
"10/15/2010","-7.3169","-81.0798","20","4.7"
"10/15/2010","-6.9808","-80.8508","29","4.5"
"10/16/2010","-3.095","-81.1216","12","4.9"
